0.242	0.226	0.221	87.035	85.720	85.901	0.000
0.263	0.223	0.235	87.234	85.686	85.968	0.000
0.293	0.226	0.238	87.301	85.787	85.867	0.000
0.316	0.230	0.238	87.334	85.686	85.867	0.000
0.340	0.226	0.252	87.434	85.787	85.934	0.000
0.367	0.215	0.249	87.633	85.753	85.934	0.000
0.394	0.215	0.252	87.733	85.820	85.901	0.000
0.424	0.208	0.255	87.932	85.753	85.867	0.000
0.454	0.208	0.249	88.098	85.854	85.934	0.000
0.462	0.208	0.255	88.231	85.753	85.968	0.000
0.480	0.205	0.249	88.431	85.921	86.102	0.000
0.480	0.219	0.242	88.730	85.820	86.102	0.000
0.492	0.212	0.242	88.730	85.988	86.135	0.000
0.495	0.208	0.232	88.996	85.954	86.169	0.000
0.504	0.215	0.228	89.228	86.021	86.269	0.000
0.519	0.212	0.225	89.261	85.921	86.303	0.000
0.558	0.208	0.218	89.660	86.055	86.403	0.000
0.585	0.212	0.211	89.727	86.155	86.403	0.000
0.611	0.208	0.218	89.959	86.122	86.470	0.000
0.626	0.208	0.214	90.192	86.256	86.570	0.000
0.656	0.208	0.228	90.391	86.189	86.503	0.000
0.707	0.205	0.238	90.624	86.390	86.604	0.000
0.757	0.215	0.238	90.724	86.256	86.470	0.000
0.820	0.212	0.242	90.989	86.390	86.671	0.000
0.874	0.212	0.249	91.189	86.490	86.604	0.000
0.918	0.201	0.242	91.421	86.490	86.872	0.000
0.963	0.212	0.228	91.621	86.524	86.805	0.000
1.005	0.212	0.225	91.754	86.557	86.872	0.000
1.041	0.226	0.214	92.086	86.691	86.872	0.000
1.070	0.219	0.214	92.252	86.758	86.905	0.000
1.085	0.230	0.214	92.452	86.859	86.972	0.000
1.109	0.226	0.204	92.684	86.893	87.039	0.000
1.142	0.215	0.218	92.817	87.027	87.173	0.000
1.181	0.212	0.218	93.183	87.127	87.307	0.000
1.237	0.212	0.218	93.316	87.228	87.374	0.000
1.276	0.212	0.221	93.548	87.261	87.441	0.000
1.321	0.215	0.235	93.715	87.429	87.575	0.000
1.377	0.226	0.232	93.980	87.462	87.675	0.000
1.425	0.219	0.245	94.180	87.563	87.876	0.000
1.476	0.226	0.259	94.512	87.764	87.976	0.000
1.526	0.237	0.269	94.711	87.764	88.043	0.000
1.568	0.230	0.276	94.811	87.998	88.177	0.000
1.622	0.237	0.290	95.143	87.998	88.412	0.000
1.657	0.226	0.286	95.376	88.166	88.445	0.000
1.708	0.237	0.297	95.708	88.266	88.445	0.000
1.750	0.237	0.293	95.908	88.400	88.679	0.000
1.792	0.248	0.297	96.307	88.468	88.679	0.000
1.851	0.255	0.290	96.606	88.535	88.880	0.000
1.899	0.251	0.293	96.905	88.769	88.880	0.000
1.970	0.269	0.300	97.337	88.836	88.981	0.000
2.039	0.269	0.314	97.636	89.037	89.315	0.000
2.113	0.280	0.324	98.001	89.238	89.382	0.000
2.197	0.272	0.338	98.301	89.406	89.416	0.000
2.268	0.283	0.348	98.666	89.607	89.684	0.000
2.361	0.280	0.358	99.065	89.741	89.818	0.000
2.456	0.305	0.355	99.530	89.908	89.918	0.000
2.546	0.312	0.368	99.896	90.110	90.119	0.000
2.644	0.326	0.358	100.261	90.378	90.387	0.000
2.730	0.326	0.365	100.693	90.646	90.721	0.000
2.829	0.337	0.355	101.159	90.847	90.922	0.000
2.909	0.351	0.351	101.591	91.048	90.989	0.000
2.978	0.354	0.358	101.989	91.282	91.324	0.000
3.058	0.362	0.362	102.355	91.483	91.458	0.000
3.118	0.365	0.368	102.754	91.852	91.860	0.000
3.201	0.376	0.385	103.186	91.919	91.994	0.000
3.276	0.387	0.403	103.584	92.288	92.328	0.000
3.353	0.394	0.416	103.983	92.522	92.563	0.000
3.446	0.397	0.437	104.183	92.790	92.831	0.000
3.538	0.394	0.444	104.681	93.092	92.964	0.000
3.630	0.404	0.454	105.080	93.394	93.366	0.000
3.714	0.415	0.454	105.379	93.595	93.500	0.000
3.800	0.419	0.454	105.711	93.796	93.902	0.000
3.907	0.436	0.454	106.177	94.164	94.069	0.000
4.012	0.451	0.451	106.509	94.499	94.370	0.000
4.098	0.465	0.451	106.775	94.801	94.672	0.000
4.188	0.472	0.451	107.174	95.002	94.906	0.000
4.253	0.501	0.457	107.539	95.438	95.308	0.000
4.310	0.508	0.464	107.738	95.572	95.509	0.000
4.372	0.522	0.478	108.104	96.041	95.843	0.000
4.417	0.529	0.485	108.436	96.175	96.078	0.000
